tcn_blocks,tcn_dilations,pooling_type,gru_layers,gru_units,aug_status,early_stop_epoch,val_loss,test_loss,timestamp
2,[2, 2],none,2,64,False,None,98.1502,83.7753,2025-09-25 17:10:00
2,[2, 2],none,2,64,True,119,57.8082,55.9404,2025-09-25 17:13:36
2,[2, 2],none,2,128,False,18,512.2782,505.8962,2025-09-25 17:13:40
2,[2, 2],none,2,128,True,44,152.9217,157.3968,2025-09-25 17:14:56
2,[2, 2],none,2,256,False,16,515.1774,507.7014,2025-09-25 17:15:00
2,[2, 2],none,2,256,True,21,328.9110,345.9101,2025-09-25 17:15:39
2,[2, 2],none,3,64,False,23,513.1193,510.4119,2025-09-25 17:15:44
2,[2, 2],none,3,64,True,22,339.8283,350.1448,2025-09-25 17:16:25
2,[2, 2],none,3,128,False,29,513.0157,505.0226,2025-09-25 17:16:31
2,[2, 2],none,3,128,True,19,340.6756,341.4458,2025-09-25 17:17:09
2,[2, 2],none,3,256,False,18,512.7746,510.8877,2025-09-25 17:17:15
2,[2, 2],none,3,256,True,19,337.5269,343.3340,2025-09-25 17:18:02
2,[2, 2],average,1,64,False,111,62.8563,60.5158,2025-09-25 17:18:30
2,[2, 2],average,1,64,True,112,45.0278,38.5904,2025-09-25 17:21:47
2,[2, 2],average,1,128,False,71,83.8598,83.0193,2025-09-25 17:21:59
2,[2, 2],average,1,128,True,None,51.3305,55.3131,2025-09-25 17:25:02
2,[2, 2],average,1,256,False,None,41.9801,35.4282,2025-09-25 17:25:24
2,[2, 2],average,1,256,True,None,32.3079,35.7076,2025-09-25 17:28:23
2,[2, 2],average,2,64,False,21,512.6805,511.1298,2025-09-25 17:28:27
2,[2, 2],average,2,64,True,38,337.3312,339.9355,2025-09-25 17:29:23
2,[2, 2],average,2,128,False,29,514.0441,507.5344,2025-09-25 17:29:28
2,[2, 2],average,2,128,True,20,335.0248,340.7723,2025-09-25 17:29:58
2,[2, 2],average,2,256,False,17,514.2984,510.4816,2025-09-25 17:30:01
2,[2, 2],average,2,256,True,26,337.6109,346.1894,2025-09-25 17:30:40
2,[2, 2],average,3,64,False,20,513.7780,510.4984,2025-09-25 17:30:43
2,[2, 2],average,3,64,True,25,339.5930,345.9027,2025-09-25 17:31:22
2,[2, 2],average,3,128,False,19,513.8205,504.6166,2025-09-25 17:31:25
2,[2, 2],average,3,128,True,25,338.2637,347.5987,2025-09-25 17:32:03
2,[2, 2],average,3,256,False,39,512.1872,510.3159,2025-09-25 17:32:11
